customer_id,annual_income,loan_amount,loan_purpose,credit_score,transaction_count,spending_ratio,join_date,default_flag
CUST100035,744725.71,118126.32,Education,671.77,43,40.68,2021-11-14,0
CUST100036,192686.65,38257.69,Business,644.18,48,48.22,2019-05-23,0
CUST100037,1181117.7,369331.08,Car,587.74,42,14.79,2023-09-29,0
CUST100038,349561.56,24207.45,Home,624.27,31,20.43,2022-03-18,0
CUST100039,,297486.58,Other,692.88,59,53.61,2023-09-13,1
CUST100040,982704.22,80891.36,Business,701.14,47,53.3,2025-11-23,1
CUST100041,580865.25,299319.49,Business,,39,16.64,2019-12-29,0
CUST100042,594084.22,60816.8,Home,660.39,44,51.26,2020-10-11,0
CUST100043,372534.54,86516.92,Home,740.65,31,36.64,2025-03-06,0
CUST100044,2058183.1,805701.77,Home,684.13,47,50.92,2020-07-02,0
CUST100045,870691.46,662987.48,Education,,41,25.81,2022-02-09,0
CUST100046,358325.09,101749.1,Home,,45,47.7,2019-09-20,0
CUST100047,716926.06,438373.15,Business,425.04,31,52.48,2022-04-16,1
CUST100048,344662.25,110590.49,Other,698.45,43,29.57,2021-02-04,0
CUST100049,1676226.18,1158042.86,Car,587.39,36,35.3,2024-08-10,0
CUST100050,725436.28,20000.0,Education,666.19,35,25.64,2025-01-04,0
CUST100051,380095.21,137966.21,Business,660.36,42,77.33,2021-05-25,0
CUST100052,953984.35,564098.06,Other,783.18,34,33.04,2024-02-03,0
CUST100053,557816.88,124418.33,Other,706.0,40,22.48,2022-02-26,0
CUST100054,320040.2,214540.5,Home,690.78,47,24.82,2024-04-06,0
CUST100055,801550.4,173074.08,Home,734.4,44,37.2,2020-09-20,0
CUST100056,789212.31,721171.36,Business,703.95,43,50.25,2023-03-06,0
CUST100057,1215275.23,618094.83,Business,650.25,48,18.43,2023-09-21,0
CUST100058,673473.95,230219.99,Home,749.65,44,84.96,2020-10-14,0
CUST100059,14220862.78,2072936.06,Education,607.87,50,40.59,2024-07-29,1
CUST100060,709844.22,198736.03,Business,701.01,47,43.78,2022-02-02,1
CUST100061,,1251159.8,Home,,39,33.4,2020-04-10,1
CUST100062,548085.84,238506.22,Other,693.26,42,35.33,2021-02-02,0
CUST100063,841488.71,444352.98,Home,692.54,48,32.6,2021-10-16,0
CUST100064,912494.78,749347.15,Business,788.97,49,57.05,2021-07-17,0
CUST100065,787882.88,180295.87,Education,,46,34.87,2022-10-13,0
CUST100066,536799.59,233815.84,Car,640.94,43,50.58,2020-11-05,0
CUST100067,694578.07,466141.17,Business,,44,28.42,2021-10-05,0
CUST100068,617365.11,146606.96,Business,701.8,49,38.45,2022-05-11,0
CUST100069,1909388.02,310067.5,Other,691.72,41,23.79,2023-06-24,0
CUST100070,505325.25,266976.68,Car,617.85,41,62.76,2019-10-08,0
CUST100071,393489.42,132204.6,Business,,47,23.46,2022-07-04,0
CUST100072,647786.67,458043.02,Education,760.93,41,29.94,2019-11-20,0
CUST100073,623150.68,33916.61,Education,676.65,36,30.09,2023-08-13,1
CUST100074,724322.18,545012.33,Other,704.4,35,29.53,2021-12-21,0
CUST100075,8188961.32,921684.11,Home,672.51,39,49.51,2025-02-12,0
CUST100076,690680.8,314768.96,Car,603.1,34,30.06,2020-06-25,1
CUST100077,698025.92,347858.82,Education,740.7,32,68.34,2022-08-20,0
CUST100078,1069842.47,142473.3,Home,712.71,32,23.63,2023-12-16,0
CUST100079,,122362.21,Other,829.87,43,37.96,2020-09-30,0
CUST100080,687686.89,475692.87,Business,613.99,40,24.12,2020-03-11,0
CUST100081,863473.21,662052.6,Education,733.47,32,42.84,2025-03-10,0
CUST100082,1047521.99,305217.24,Business,594.75,42,34.73,2022-11-30,1
CUST100083,378399.56,182135.0,Education,690.23,47,32.49,2021-08-19,0
CUST100084,326423.64,128419.39,Education,743.47,44,61.92,2022-03-03,0
CUST100085,1651577.48,249658.51,Home,545.31,46,25.57,2021-07-05,0
CUST100086,957392.89,541578.98,Car,666.68,34,46.38,2025-10-04,1
CUST100087,576116.39,478261.65,Home,643.39,44,24.2,2025-06-24,0
CUST100088,657081.74,239133.4,Business,634.37,53,36.95,2025-02-13,0
CUST100089,523775.64,379183.51,Education,705.04,62,19.72,2023-02-08,1
CUST100090,730096.53,153476.9,Car,752.84,43,25.47,2025-01-18,0
CUST100091,380871.45,279659.65,Education,671.34,42,33.65,2019-05-09,0
CUST100092,1031804.21,445149.2,Home,693.36,44,83.63,2019-10-31,0
CUST100093,715850.78,310455.08,Other,687.43,47,36.74,2021-07-05,0
CUST100094,15517425.09,6754321.44,Home,680.12,47,77.45,2022-03-31,0
CUST100095,397543.38,66275.79,Other,609.19,36,38.9,2021-07-10,0
CUST100096,867243.04,602771.13,Education,752.05,31,29.07,2021-11-25,0
CUST100097,402597.76,211181.21,Education,,38,73.28,2022-06-04,0
CUST100098,444206.43,128912.09,Car,705.67,42,43.17,2025-01-07,0
CUST100099,682091.91,444008.82,Other,627.58,35,25.71,2020-08-15,0
CUST100100,2581187.67,885344.9,Car,650.15,41,43.87,2024-09-25,0
CUST100101,714282.64,483493.89,Education,668.55,43,30.41,2021-07-28,0
CUST100102,158243.01,55413.31,Other,580.28,47,13.47,2025-03-28,0
CUST100103,456503.61,35048.38,Other,,47,54.85,2023-04-12,0
CUST100104,946738.93,325308.04,Education,640.95,52,59.2,2021-09-28,0
CUST100105,349435.45,285178.14,Other,713.96,38,84.57,2025-01-21,0
CUST100106,,644623.5,Business,637.55,38,42.86,2023-05-30,0
CUST100107,709332.0,287394.16,Home,613.78,42,31.06,2023-06-16,0
CUST100108,1121253.26,61724.92,Car,627.05,42,52.26,2023-05-17,1
CUST100109,477996.11,166785.16,Car,650.4,37,52.63,2022-01-08,0
CUST100110,457941.39,381137.44,Car,657.0,42,76.84,2024-12-27,0
CUST100111,886884.0,614126.17,Business,820.76,33,34.26,2025-09-13,0
CUST100112,647314.17,170189.57,Education,748.55,40,32.33,2024-05-09,0
CUST100113,626131.13,23108.63,Home,746.61,40,24.83,2019-05-10,0
CUST100114,1540566.97,1027207.39,Other,755.96,38,45.3,2025-10-29,0
CUST100115,,209320.32,Car,615.08,44,16.65,2019-01-29,0
CUST100116,217568.71,91626.67,Other,,46,50.8,2022-05-10,0
CUST100117,1008742.55,121675.1,Other,608.05,41,46.41,2022-06-14,0
CUST100118,954707.68,456529.01,Other,766.74,37,46.35,2023-06-20,0
CUST100119,1247221.52,591961.77,Business,644.43,43,37.4,2021-03-09,0
CUST100120,,217991.38,Home,598.66,44,73.05,2022-09-24,0
CUST100121,777136.16,222740.15,Education,651.99,41,53.19,2022-11-23,1
CUST100122,691158.29,462849.99,Home,664.49,29,26.15,2025-05-25,0
CUST100123,383858.83,147155.95,Car,697.45,49,26.38,2019-04-10,0
CUST100124,1094107.21,834632.09,Education,,35,22.95,2024-04-23,0
CUST100125,569137.5,227926.81,Home,626.17,44,45.6,2020-02-26,1
CUST100126,1225341.89,589264.22,Other,724.57,48,21.66,2020-11-24,0
CUST100127,431988.96,177382.79,Other,638.45,42,58.87,2020-12-06,0
CUST100128,291095.2,55883.41,Car,669.84,42,66.05,2019-01-18,0
CUST100129,568818.25,268078.68,Education,724.64,52,22.95,2025-11-23,0
CUST100130,738428.75,426368.92,Education,638.28,40,32.02,2021-10-27,0
CUST100131,484522.86,188089.79,Other,642.99,44,35.28,2025-10-02,0
CUST100132,120484.5,71164.86,Business,718.46,42,53.5,2020-01-15,0
CUST100133,,737500.9,Car,624.25,43,75.78,2019-04-24,1
CUST100134,,421616.39,Car,654.99,48,15.59,2023-06-08,0
CUST100135,948530.9,674699.77,Car,716.12,47,30.04,2021-04-30,0
CUST100136,527264.08,74196.54,Other,813.52,35,30.8,2024-03-11,0
CUST100137,511677.18,24501.27,Home,719.35,36,17.87,2021-09-02,0
CUST100138,1435328.95,251543.61,Home,710.72,47,27.73,2025-11-21,0
CUST100139,273280.79,221382.85,Other,714.5,48,42.98,2019-04-03,0
CUST100140,,104202.36,Other,610.24,41,30.62,2023-02-24,0
CUST100141,702916.69,544258.55,Other,687.51,41,16.68,2022-01-30,0
CUST100142,907128.73,132617.78,Education,678.07,45,139.06,2020-05-07,0
CUST100143,713615.51,302707.6,Business,700.9,48,39.77,2023-02-17,0
CUST100144,391457.29,566200.29,Education,687.57,45,36.93,2025-12-01,1
CUST100145,1235412.29,319983.68,Home,704.68,37,20.66,2024-07-28,0
CUST100146,650682.26,325507.95,Education,659.75,38,39.67,2019-06-16,0
CUST100147,,119895.11,Home,683.81,48,32.35,2019-05-20,0
CUST100148,729252.12,147625.59,Car,600.19,43,14.14,2019-04-04,1
CUST100149,844187.51,116166.2,Other,659.21,53,20.94,2020-07-29,0
CUST100150,1910999.22,699640.25,Car,770.4,45,51.26,2020-08-28,0
CUST100151,813857.76,401791.36,Other,700.72,36,88.99,2023-12-24,0
CUST100152,287682.75,185071.44,Car,678.64,37,41.75,2022-03-01,0
CUST100153,293294.33,201049.24,Car,803.25,39,59.43,2020-08-06,0
CUST100154,1298886.41,367368.59,Education,591.55,60,32.48,2021-03-26,0
CUST100155,417978.8,43896.24,Business,607.89,46,33.58,2024-04-11,0
CUST100156,277189.89,171574.61,Education,791.33,36,59.09,2023-03-16,0
CUST100157,1126931.06,942111.54,Other,682.99,39,77.75,2021-08-20,0
CUST100158,500354.91,157026.83,Home,664.23,44,65.36,2021-12-11,0
CUST100159,1094256.09,403202.19,Other,602.05,48,20.98,2024-08-09,1
CUST100160,393026.34,262190.1,Home,709.1,51,33.89,2022-08-06,0
CUST100161,1462012.44,1069085.2,Other,715.39,40,39.99,2020-03-21,0
CUST100162,,282079.2,Car,,46,30.9,2025-04-03,0
CUST100163,12106833.5,3210023.2,Business,,30,42.16,2023-02-23,0
CUST100164,,20301.13,Business,658.19,48,51.9,2021-12-03,0
CUST100165,2309560.41,235541.54,Home,696.64,38,56.64,2021-05-31,1
CUST100166,579032.22,196734.02,Other,607.25,33,78.62,2021-07-25,0
CUST100167,,222715.96,Home,761.38,37,29.88,2024-05-02,1
CUST100168,1393316.16,729832.36,Home,739.53,35,18.19,2025-08-03,0
CUST100169,1093501.58,145174.0,Business,656.39,43,41.57,2023-03-30,0
CUST100170,1245771.71,87190.1,Home,665.93,43,86.45,2020-04-06,0
CUST100171,,214389.02,Home,671.13,53,27.84,2019-04-11,1
CUST100172,1829050.84,605011.05,Education,629.41,39,48.67,2025-05-04,0
CUST100173,316123.31,166253.51,Business,651.18,34,48.88,2020-02-12,0
CUST100174,479788.38,70441.25,Home,662.43,44,38.37,2025-11-20,0
CUST100175,805453.67,157469.94,Education,784.84,31,35.12,2023-10-06,0
CUST100176,1235750.31,473279.17,Business,,40,22.47,2019-09-16,1
CUST100177,6475157.29,2595237.18,Other,740.75,41,11.71,2020-05-23,0
CUST100178,,267112.3,Other,704.05,43,20.53,2023-08-18,0
CUST100179,500516.74,295190.39,Business,607.37,52,29.02,2019-11-05,0
CUST100180,,172572.99,Business,677.3,36,59.27,2020-09-16,1
CUST100181,989688.42,618443.89,Car,743.08,34,33.31,2024-11-27,0
CUST100182,401811.98,205336.82,Home,598.21,38,27.28,2020-11-09,0
CUST100183,395291.79,252828.11,Business,721.38,43,22.82,2022-07-07,0
CUST100184,15434829.12,12420472.69,Other,830.97,38,47.97,2023-08-08,0
CUST100185,448721.91,124180.77,Business,749.02,56,67.18,2021-01-11,0
CUST100186,1145257.6,801865.1,Home,,29,58.31,2021-06-25,0
CUST100187,826025.08,286545.49,Education,694.19,34,46.82,2019-09-25,0
CUST100188,883379.9,365557.21,Education,742.92,44,17.24,2024-07-23,0
CUST100189,722263.96,503832.65,Business,,41,29.56,2021-07-28,1
CUST100190,741219.09,524869.09,Business,731.73,40,89.13,2021-03-21,0
CUST100191,272318.62,123652.16,Education,722.54,48,59.97,2022-04-15,0
CUST100192,1006036.24,469421.39,Home,698.84,41,16.73,2024-11-21,0
CUST100193,476781.13,127817.26,Other,765.54,39,34.08,2022-06-13,0
CUST100194,638254.39,425604.13,Business,644.98,39,41.66,2022-01-21,0
CUST100195,501060.7,380977.41,Home,667.84,46,24.28,2025-02-26,0
CUST100196,704298.11,20000.0,Car,686.21,44,11.55,2024-01-09,1
CUST100197,890848.18,364341.71,Other,613.08,46,36.7,2021-06-17,0
CUST100198,373195.38,302541.1,Other,694.75,50,23.98,2021-07-13,0
CUST100199,746939.68,358074.79,Car,568.27,41,24.03,2023-11-26,1
CUST100200,507766.12,211028.82,Home,748.05,54,29.52,2021-11-24,0
CUST100201,1344496.25,987464.63,Home,683.03,53,32.82,2020-11-18,0
CUST100202,352104.64,152750.11,Car,646.14,37,34.85,2023-01-21,0
CUST100203,374498.73,95180.46,Education,625.77,42,22.9,2023-02-03,1
CUST100204,533366.47,373766.12,Education,664.75,42,31.49,2024-05-12,0
CUST100205,390671.99,119485.92,Business,724.74,37,15.06,2021-02-26,0
CUST100206,574536.03,368197.45,Business,715.6,53,40.64,2020-02-03,0
CUST100207,486207.43,20000.0,Home,634.14,44,8.88,2024-12-04,0
CUST100208,682388.52,147142.68,Home,625.01,42,30.46,2019-12-28,0
CUST100209,1131627.32,233664.75,Car,722.7,35,54.41,2019-07-23,0
CUST100210,675988.56,556719.9,Home,633.05,34,21.05,2025-10-27,1
CUST100211,710712.06,448037.41,Home,,30,49.36,2020-12-27,0
CUST100212,363378.48,105327.69,Business,688.04,47,60.95,2024-07-31,1
CUST100213,603797.94,20000.0,Business,700.28,54,7.15,2023-06-29,0
CUST100214,515433.04,212999.75,Business,735.79,43,32.55,2023-05-24,0
CUST100215,945652.24,457981.54,Business,597.91,40,8.8,2021-02-05,0
CUST100216,426861.89,20000.0,Business,555.77,35,33.07,2022-06-08,0
CUST100217,404888.53,223498.95,Business,643.12,51,34.88,2022-05-11,0
CUST100218,773989.59,391644.25,Car,797.1,45,10.63,2025-08-06,0
CUST100219,1931455.31,1314288.27,Other,811.44,41,88.17,2020-01-30,0
CUST100220,590046.07,370539.42,Home,799.03,34,40.15,2019-09-05,0
CUST100221,713003.97,271836.68,Home,667.46,56,23.29,2021-07-02,0
CUST100222,1094862.85,324193.13,Car,564.16,42,70.72,2022-11-20,0
CUST100223,860419.02,525616.08,Other,527.7,41,14.78,2023-12-24,1
CUST100224,863536.42,1556839.78,Other,640.09,48,19.4,2019-12-22,1
CUST100225,616844.22,144380.27,Business,667.13,50,11.61,2019-08-29,0
CUST100226,623480.83,389538.79,Education,764.54,40,83.08,2024-03-25,0
CUST100227,429078.84,124443.69,Education,736.41,40,41.05,2025-03-26,0
CUST100228,849355.35,52146.26,Other,694.78,53,48.03,2020-09-12,0
CUST100229,838762.26,54552.82,Business,622.16,39,40.44,2023-04-12,0
CUST100230,964310.03,648025.16,Other,,45,46.1,2021-05-04,0
CUST100231,496962.67,241022.41,Car,696.52,43,36.34,2025-05-03,0
CUST100232,1026126.47,720198.39,Car,725.31,47,39.86,2025-03-17,0
CUST100233,1212338.59,243642.97,Other,705.47,45,36.86,2022-01-10,0
CUST100234,333384.14,91569.29,Home,612.75,48,26.13,2022-09-12,0
CUST100235,552079.71,203077.1,Other,722.29,43,34.23,2021-11-26,0
CUST100236,1240457.24,952543.88,Education,707.68,41,39.91,2020-01-17,0
CUST100237,454735.86,20000.0,Other,610.41,21,36.91,2024-04-19,0
CUST100238,869389.94,268685.32,Car,629.02,30,17.22,2024-09-17,0
CUST100239,653073.16,35717.48,Business,724.75,42,18.35,2022-02-06,0
CUST100240,779736.46,599382.73,Education,664.76,32,58.86,2025-10-12,0
CUST100241,664113.67,344635.59,Education,783.29,38,30.2,2024-09-10,0
CUST100242,979817.57,426480.58,Education,712.57,45,46.34,2021-08-02,0
CUST100243,370605.42,1059570.37,Other,648.37,39,20.72,2023-10-11,0
CUST100244,393328.28,381711.43,Business,679.34,37,17.26,2019-04-16,0
CUST100245,1454554.31,1183841.42,Car,684.12,36,23.35,2025-12-04,0
CUST100246,2063527.48,1306078.38,Other,632.65,48,31.45,2019-07-25,0
CUST100247,648065.44,316987.06,Car,620.68,35,25.43,2021-04-14,0
CUST100248,1669648.97,317154.65,Car,725.59,49,65.13,2019-03-30,0
CUST100249,,324023.38,Home,734.94,39,38.15,2021-12-08,0
CUST100250,485218.9,195584.88,Other,719.25,33,85.02,2021-06-14,0
CUST100251,1448944.29,385253.58,Car,778.5,30,42.5,2023-05-16,0
CUST100252,1011541.77,316781.71,Car,644.78,40,10.99,2022-04-09,0
CUST100253,1572634.11,1291999.93,Other,788.83,27,58.1,2019-05-23,0
CUST100254,841072.65,272475.01,Business,621.44,47,16.96,2019-07-26,0
CUST100255,372438.54,170356.01,Home,614.18,46,39.1,2024-08-14,0
CUST100256,735051.02,611246.12,Business,565.6,40,24.13,2019-07-30,0
CUST100257,,563545.38,Other,651.02,57,97.89,2019-01-29,0
CUST100258,604237.9,270672.58,Home,647.26,42,69.85,2022-04-28,0
CUST100259,555258.59,476921.94,Business,714.19,45,24.51,2019-07-07,0
CUST100260,848179.03,726654.97,Education,695.85,45,32.92,2024-02-04,1
CUST100261,477824.69,335618.56,Business,602.46,47,39.36,2022-03-19,0
CUST100262,764710.73,420354.46,Education,654.47,41,52.97,2024-07-25,1
CUST100263,673102.87,249274.04,Business,655.85,41,35.49,2022-10-21,1
CUST100264,496331.68,363495.93,Home,564.56,42,21.4,2019-06-06,0
CUST100265,1114741.52,380526.32,Business,616.24,38,24.8,2024-10-28,0
CUST100266,927289.42,615437.43,Home,629.9,39,34.92,2024-03-06,0
CUST100267,535099.94,411506.92,Education,773.19,31,63.3,2022-07-20,0
CUST100268,644673.29,350305.73,Home,692.44,38,42.98,2023-10-08,0
CUST100269,559907.05,457836.23,Business,723.04,43,24.15,2023-12-19,1
CUST100270,457472.22,291920.19,Car,582.59,35,47.78,2019-08-20,0
CUST100271,255423.78,133764.6,Education,757.62,42,29.07,2019-06-09,0
CUST100272,498133.0,245058.61,Car,764.57,45,53.66,2019-12-10,0
CUST100273,461165.62,94636.17,Business,550.11,42,117.72,2019-07-24,0
CUST100274,692398.91,291710.02,Education,634.15,42,29.46,2019-11-01,1
CUST100275,,250556.09,Business,712.22,46,51.42,2022-10-15,0
CUST100276,,123255.63,Home,721.89,43,24.47,2020-02-04,0
CUST100277,798229.31,535502.0,Home,635.9,46,33.16,2024-11-23,0
CUST100278,384151.57,247453.57,Education,660.14,44,35.5,2025-07-17,1
CUST100279,606716.41,211537.66,Other,641.17,42,31.89,2021-09-12,0
CUST100280,466679.09,268320.28,Home,687.18,46,114.16,2023-12-11,0
CUST100281,979819.0,502704.29,Home,757.82,46,30.21,2021-08-09,0
CUST100282,693116.13,556790.65,Home,629.88,38,46.39,2022-12-15,0
CUST100283,611784.44,241138.54,Business,,52,13.86,2024-09-27,0
CUST100284,460855.71,271005.09,Car,,29,43.06,2019-07-25,1
CUST100285,542457.45,414837.55,Business,624.9,33,60.55,2022-05-26,0
CUST100286,1777486.93,690661.95,Home,733.21,45,27.17,2024-01-16,0
CUST100287,,394222.92,Home,739.93,48,10.49,2022-12-30,0
CUST100288,846107.29,771193.67,Car,735.34,40,34.36,2022-09-07,0
CUST100289,610951.08,489915.22,Education,594.47,47,35.29,2019-08-19,1
CUST100290,832910.58,273882.23,Business,649.71,51,49.55,2023-02-19,0
CUST100291,1029994.86,416559.99,Home,733.49,34,91.89,2021-06-01,0
CUST100292,535009.33,383149.37,Other,682.7,50,29.16,2025-05-20,0
CUST100293,960397.97,375987.98,Car,610.21,38,23.2,2023-02-18,0
CUST100294,2960531.45,1603614.5,Business,709.79,39,19.99,2025-05-12,0
CUST100295,888131.09,163955.98,Education,633.54,37,38.49,2020-03-08,0
CUST100296,1578834.46,294076.23,Home,,52,44.05,2022-04-23,0
CUST100297,846870.39,317244.61,Business,780.41,35,26.94,2025-03-13,0
CUST100298,389316.82,231208.78,Business,719.27,35,50.86,2024-11-14,0
CUST100299,756425.51,149547.33,Car,,43,43.76,2022-02-16,0
CUST100300,541997.44,277927.59,Education,684.21,42,35.73,2025-08-09,0
CUST100301,468344.89,198235.22,Car,729.75,35,22.7,2023-12-23,0
CUST100302,624561.93,390871.79,Business,776.05,45,27.77,2021-10-04,0
CUST100303,596965.8,336333.86,Car,695.96,45,10.9,2020-09-09,0
CUST100304,362858.76,160232.89,Business,663.41,39,39.19,2020-02-01,0
CUST100305,2883113.99,1184573.71,Home,569.2,40,35.45,2025-11-10,0
CUST100306,1013638.25,231567.64,Home,674.6,45,38.31,2019-11-14,0
CUST100307,743513.56,257672.71,Car,733.52,39,44.59,2025-08-26,0
CUST100308,682939.6,375734.61,Home,741.47,33,42.12,2024-12-29,0
CUST100309,1259240.58,519710.39,Education,712.78,47,33.19,2020-04-01,0
CUST100310,,770882.49,Home,644.82,43,35.83,2020-05-15,1
CUST100311,947445.41,550343.65,Business,551.51,33,17.84,2019-11-19,1
CUST100312,694803.0,168099.89,Home,647.81,46,26.45,2021-09-26,0
CUST100313,1461073.33,1147463.7,Business,660.22,33,35.86,2025-05-04,1
CUST100314,702938.88,20000.0,Education,659.66,45,24.59,2025-12-09,0
CUST100315,825835.42,626064.62,Other,720.21,39,52.89,2021-05-27,1
CUST100316,1127241.04,554481.82,Other,809.07,35,25.51,2020-11-09,0
CUST100317,525530.82,262666.69,Other,688.03,40,38.83,2024-08-23,0
CUST100318,,20000.0,Business,665.91,46,37.01,2021-09-30,0
CUST100319,511669.16,148803.08,Car,663.15,38,50.08,2019-06-04,0
CUST100320,994383.43,302899.65,Business,688.09,49,53.93,2019-04-11,0
CUST100321,956590.46,227237.98,Other,626.16,39,48.84,2021-12-02,0
CUST100322,1360273.31,736469.36,Home,687.81,31,12.74,2022-08-27,0
CUST100323,522547.19,149946.58,Education,709.3,41,62.09,2020-09-12,0
CUST100324,1550730.28,1072293.44,Home,693.63,37,72.85,2023-06-17,0
CUST100325,719646.18,164854.64,Education,709.74,33,27.77,2021-10-11,0
CUST100326,906326.49,527315.21,Education,708.19,37,39.21,2025-11-17,0
CUST100327,1068444.77,514480.18,Education,564.83,52,22.82,2025-07-26,1
CUST100328,304008.68,20000.0,Education,721.4,40,13.74,2025-03-31,1
CUST100329,374008.64,85599.0,Other,636.38,52,24.55,2024-05-05,0
CUST100330,367242.57,20000.0,Education,608.77,41,27.01,2020-02-07,0
CUST100331,1172263.55,360742.64,Business,608.21,38,29.52,2025-07-26,0
CUST100332,549479.37,350409.04,Car,708.18,37,22.09,2022-03-17,0
CUST100333,1982556.49,1217797.39,Car,665.53,58,24.61,2024-09-06,0
CUST100334,651208.03,496556.5,Education,570.67,36,34.82,2019-09-16,1
CUST100335,289373.07,139621.75,Car,711.07,38,24.18,2020-09-11,0
CUST100336,449053.81,438101.86,Car,,51,45.43,2023-01-05,0
CUST100337,693346.15,439988.09,Education,689.09,29,48.55,2024-05-27,0
CUST100338,862924.14,581648.81,Education,695.5,44,109.72,2024-05-15,0
CUST100339,378157.82,239861.06,Business,737.56,41,60.08,2023-07-11,0
CUST100340,888590.76,255499.79,Car,795.81,50,39.33,2021-05-25,0
CUST100341,1029183.33,306499.35,Car,591.3,49,25.99,2023-03-31,0
CUST100342,,204928.45,Education,676.59,45,40.3,2022-05-19,0
CUST100343,1919862.46,858642.85,Home,662.04,33,40.94,2020-06-26,0
CUST100344,484932.59,183570.89,Car,708.19,36,27.36,2020-03-28,0
CUST100345,375042.53,215331.59,Home,694.02,39,50.99,2020-02-08,0
CUST100346,280311.08,20000.0,Home,657.08,36,17.89,2021-10-15,0
CUST100347,1271973.29,834794.5,Home,651.34,41,31.13,2022-11-29,0
CUST100348,658232.32,544716.13,Home,607.43,28,45.7,2021-06-01,1
CUST100349,499378.87,254625.38,Home,744.21,48,30.49,2024-01-26,0
CUST100350,,211939.33,Business,709.85,50,31.69,2020-07-28,0
CUST100351,524730.27,73867.17,Home,739.65,60,32.76,2022-12-29,0
CUST100352,2408519.03,1126019.67,Car,659.82,41,23.44,2023-02-08,0
CUST100353,199837.44,227384.34,Other,637.31,39,61.49,2023-01-31,0
CUST100354,459234.16,148596.38,Business,609.91,44,21.47,2025-10-06,1
CUST100355,1742373.51,320774.74,Car,703.33,43,40.77,2022-03-08,0
CUST100356,,372963.88,Other,,40,42.69,2025-11-20,0
CUST100357,474911.39,193406.93,Car,800.16,55,22.2,2019-04-21,0
CUST100358,727016.86,335045.76,Home,595.0,38,36.25,2025-01-09,0
CUST100359,838477.66,174942.24,Other,697.79,48,22.62,2020-11-12,0
CUST100360,699652.36,339202.98,Other,781.85,31,68.24,2021-02-07,0
CUST100361,1734405.49,551492.35,Education,718.94,42,20.26,2019-10-06,0
CUST100362,783551.8,528175.66,Business,691.42,57,25.57,2019-12-29,0
CUST100363,,462078.97,Business,,47,19.45,2023-07-07,1
CUST100364,718274.41,597313.1,Home,590.19,37,18.24,2022-12-02,0
CUST100365,212546.02,73974.08,Home,730.05,42,75.12,2022-04-13,0
CUST100366,337358.23,155651.34,Education,777.9,38,45.42,2020-08-23,0
CUST100367,378149.47,188491.15,Other,651.47,42,37.44,2022-03-04,0
CUST100368,,450635.5,Home,605.96,35,25.54,2025-05-30,1
