customer_id,repayment_history
CUST100963,3
CUST100964,3
CUST100965,0
CUST100966,1
CUST100967,3
CUST100968,1
CUST100969,3
CUST100970,0
CUST100971,2
CUST100972,3
CUST100973,4
CUST100974,1
CUST100975,2
CUST100976,0
CUST100977,0
CUST100978,0
CUST100979,1
CUST100980,2
CUST100981,1
CUST100982,1
CUST100983,1
CUST100984,2
CUST100985,2
CUST100986,4
CUST100987,1
CUST100988,5
CUST100989,2
CUST100990,2
CUST100991,3
CUST100992,1
CUST100993,1
CUST100994,3
CUST100995,2
CUST100996,1
CUST100997,2
CUST100998,2
CUST100999,1
CUST101000,3
CUST100522,4
CUST100738,5
CUST100741,1
CUST100661,4
CUST100412,5
CUST100679,3
CUST100627,2
CUST100514,3
